nombre;conteo
Juan Miguel Saboya Soto;16.0
Gabriel Santiago Velez Gonzalez;6.0
Shemuel Cuellar Ramirez;4.0
Hector David Martinez Argaez;4.0
Jefferson Durango;2.0
Julian Alejandro Forero Gonzalez;2.0
Mauricio Arias;2.0
Shanty Rodríguez;2.0
Alejandro Restrepo Echeverri;1.0
Juan Manuel Rueda Jaramillo;1.0
Juan David Carmona Vásquez;1.0
