nombre;conteo
Bernardo Torres;30
Louis Rodriguez;13
Oscar Andelfo Dúran Caicedo;9
Rafael Antonio Sanchez;8
Ricardo Zapata Cruz;5
Felipe Santamaría Ruiz;3
Cristofer Azuaje;3
Miguel Vidal;3
Richard Alejandro Sánchez Andueza;2
Samuel de Jesus Parra Rojas;2
Gustavo Adolfo Ortega Gomez;1
Enrymar Cisneros;1
Victor Salas;1
Miguel González;1
José Ángel Luyo Santana;1
Leandro Fabian Paredes Gomez;1
Daniel Eduardo Forero Perez;1
