nombre;conteo
Isabela Quesada Rodríguez;7
Ginneidy Camila León Zabala;2
Laura Paola Gamboa Guzman;2
Daniela Lobo Jaimes;1
Juliana Gonzalez Silva;1
Mariana Jimenez Torres;1
Raquel Mendivelso;1
