nombre;conteo
Isabela Quesada Rodríguez;35
Juliana Gonzalez Silva;12
Ginneidy Camila León Zabala;11
Victoria Alejandra Zambrano Buitrago;5
Daniela Lobo Jaimes;4
Natalia Andrea Cruz Ochoa;3
Laura Paola Gamboa Guzman;3
Catalina Herrera López;2
Raquel Mendivelso;2
Carolina Salazar;1
María José Martínez León;1
Laura Carrillo Cortes;1
Lizeth Stefania Herrera Rodriguez;1
Mariana Jimenez Torres;1
